Error,d,Clase
0.14529999999999998,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.1684,8,Redes - Test paralelo
0.01200000000000001,8,Redes - Train diagonal
0.1511,8,Redes - Test diagonal
0.008000000000000007,8,Redes - Train paralelo
0.17290000000000005,8,Redes - Test paralelo
0.020000000000000018,8,Redes - Train diagonal
0.14249999999999996,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.1521,8,Redes - Test paralelo
0.016000000000000014,8,Redes - Train diagonal
0.1401,8,Redes - Test diagonal
0.01200000000000001,8,Redes - Train paralelo
0.1503,8,Redes - Test paralelo
0.028000000000000025,8,Redes - Train diagonal
0.12370000000000003,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.17469999999999997,8,Redes - Test paralelo
0.0040000000000000036,8,Redes - Train diagonal
0.1623,8,Redes - Test diagonal
0.02400000000000002,8,Redes - Train paralelo
0.1501,8,Redes - Test paralelo
0.02400000000000002,16,Redes - Train diagonal
0.13029999999999997,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.19440000000000002,16,Redes - Test paralelo
0.01200000000000001,16,Redes - Train diagonal
0.1704,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.13690000000000002,16,Redes - Test paralelo
0.020000000000000018,16,Redes - Train diagonal
0.12839999999999996,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.14629999999999999,16,Redes - Test paralelo
0.0,16,Redes - Train diagonal
0.1483,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.14470000000000005,16,Redes - Test paralelo
0.03200000000000003,16,Redes - Train diagonal
0.12670000000000003,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.15459999999999996,16,Redes - Test paralelo
0.01200000000000001,16,Redes - Train diagonal
0.15359999999999996,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.13190000000000002,16,Redes - Test paralelo
0.016000000000000014,16,Redes - Train diagonal
0.12350000000000005,16,Redes - Test diagonal
0.0040000000000000036,16,Redes - Train paralelo
0.13170000000000004,16,Redes - Test paralelo
0.052000000000000046,16,Redes - Train diagonal
0.12280000000000002,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.12390000000000001,16,Redes - Test paralelo
0.0040000000000000036,16,Redes - Train diagonal
0.15200000000000002,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.13470000000000004,16,Redes - Test paralelo
0.01200000000000001,16,Redes - Train diagonal
0.12560000000000004,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.14900000000000002,16,Redes - Test paralelo
0.02400000000000002,16,Redes - Train diagonal
0.12749999999999995,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.14690000000000003,16,Redes - Test paralelo
0.016000000000000014,16,Redes - Train diagonal
0.13070000000000004,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.12680000000000002,16,Redes - Test paralelo
0.0040000000000000036,16,Redes - Train diagonal
0.13239999999999996,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
0.14300000000000002,16,Redes - Test paralelo
0.008000000000000007,16,Redes - Train diagonal
0.1481,16,Redes - Test diagonal
0.0,16,Redes - Train paralelo
